content
"Asgari ücret destek miktarını, özellikle küçük işletmelerimizin bu yükün altından daha kolay kalkmalarını temin amacıyla 400 liraya yükseltme kararı aldık. Hayırlı olsun. https://t.co/xtYeRtI0k2"
Uygulanan zam oranıyla birlikte en düşük emekli maaşı tutarını 3 bin 500 liradan 5 bin 500 liraya çıkarıyoruz. Tüm emeklilerimize hayırlı olsun. https://t.co/s7ByhtN0ut
"Her zaman olduğu gibi @Akparti vizyonu ortaya koyar, programını ve projelerini hazırlar, en doğru vakitte bunları hayata geçirir ve ardından daha büyük hedeflere yönelir.

Biz yaparız, onlar konuşur.

https://t.co/yNyCQyfPeM"
"Memurlarımızın ve tüm emeklilerimizin 2023’ün ilk yarısını kapsayan maaş artış oranı %30 olarak uygulanacaktır.

Yeni memur ve emekli maaş oranımız çalışanlarımıza, emeklilerimize, milletimize hayırlı olsun. https://t.co/IrsKi39MG5"
AK Parti TBMM Grup Toplantısı https://t.co/TvTRa72AU1
"Bugün Sözleşmeliye Kadro Şöleni Programı vesilesiyle bir araya geldiğimiz, ülkemize ve milletimize hizmet eden tüm kamu görevlisi kardeşlerime teşekkür ediyorum. https://t.co/uQNt5CUVy7"
"Sözleşmeliye Kadro Şöleni Programı

https://t.co/UdFAP5Tyfg"
"Mal ve hizmet ihracatında yazdığımız başarı hikâyesiyle büyük bir ihracat ekonomisini hep birlikte oluşturduk.

Üzerinde “made in Türkiye” yazan ürünleri zorlu şartlara rağmen dünyanın dört bir yanına ulaştıran tüm ihracatçılarımıza teşekkür ediyorum. https://t.co/I1eHCBZP2P"
"2022 yılı ihracatımız geçen yıla göre %12,9 oranında artışla 254,2 milyar dolar olarak gerçekleşmiştir.

Cumhuriyet tarihimizin rekoru olan bu ihracat rakamı ülkemize, milletimize, ekonomimize hayırlı olsun. 🇹🇷 https://t.co/ryQOpij3dy"
"2022 Yılı Dış Ticaret Rakamları Açıklaması

https://t.co/KzU31F8QyQ"
